Dado 1;Dado 2;Dado 3;;;;;;;;;;;
0.23626612;0.18841681;-0.9470087;;;;;;;;;;;
0.23731631;0.18825975;-0.9579727;;;;;;;;;;;
0.23682207;0.19567697;-0.95363206;;;;;;;;;;;
0.23632857;0.20308317;-0.94929785;;;;;;;;;;;
0.23569554;0.2065511;-0.9435675;;;;;;;;;;;
0.23506345;0.21001388;-0.93784565;;;;;;;;;;;
0.22784008;0.21781957;-0.9108128;;;;;;;;;;;
0.22062744;0.22561367;-0.8838201;;;;;;;;;;;
0.22338398;0.23031047;-0.87117404;;;;;;;;;;;
0.22613642;0.2350003;-0.8585467;;;;;;;;;;;
0.22074968;0.22074807;-0.91382396;;;;;;;;;;;
0.21537094;0.206517;-0.9690191;;;;;;;;;;;
0.2100002;0.19230707;-1.0241323;;;;;;;;;;;
0.20940627;0.20448713;-0.994166;;;;;;;;;;;
0.20881324;0.21664909;-0.9642443;;;;;;;;;;;
0.21579511;0.22248128;-0.93254364;;;;;;;;;;;
0.22276662;0.2283048;-0.9008901;;;;;;;;;;;
0.2265018;0.22430149;-0.9294551;;;;;;;;;;;
0.23023142;0.22030412;-0.9579776;;;;;;;;;;;
0.2269425;0.22949712;-0.9544785;;;;;;;;;;;
0.22365847;0.23867647;-0.9509846;;;;;;;;;;;
0.22037932;0.2478422;-0.9474959;;;;;;;;;;;
0.22650246;0.2436696;-0.95453185;;;;;;;;;;;
0.23261651;0.2395032;-0.9615574;;;;;;;;;;;
0.22595783;0.2514729;-0.944027;;;;;;;;;;;
0.21930903;0.26342478;-0.9265226;;;;;;;;;;;
0.22655584;0.24744722;-0.93877935;;;;;;;;;;;
0.23379189;0.2314934;-0.9510179;;;;;;;;;;;
0.22993664;0.23477887;-0.9501941;;;;;;;;;;;
0.22608712;0.23805946;-0.9493715;;;;;;;;;;;
0.22308488;0.24077414;-0.939293;;;;;;;;;;;
0.2200871;0.24348478;-0.9292295;;;;;;;;;obs:;P;150
0.2267717;0.23160437;-0.94050044;;;;;;;;;;Qt;0.002
0.23344637;0.2197416;-0.9517546;;;;;;;;;;Qtb;0.003
0.24011114;0.20789646;-0.9629921;;;;;;;;;;R;0.01
0.24325952;0.2114975;-0.9691635;;;;;;;;;;;
0.2464032;0.2150932;-0.9753257;;;;;;;;;;;
0.24379158;0.21756147;-0.97797227;;;;;;;;;;;
0.24118383;0.22002608;-0.9806149;;;;;;;;;;;
0.24433061;0.21968183;-0.9676848;;;;;;;;;;;
0.24747272;0.21933809;-0.9547739;;;;;;;;;;;
0.2574829;0.21366498;-0.9669887;;;;;;;;;;;
0.2674782;0.2080003;-0.97918534;;;;;;;;;;;
0.27745864;0.20234403;-0.9913638;;;;;;;;;;;
0.26610476;0.20244682;-0.9955294;;;;;;;;;;;
0.25476775;0.20254946;-0.99968886;;;;;;;;;;;
0.25326577;0.20293246;-0.98687065;;;;;;;;;;;
0.25176603;0.20331489;-0.9740715;;;;;;;;;;;
0.25742176;0.20117207;-0.9786836;;;;;;;;;;;
0.2630691;0.19903244;-0.9832888;;;;;;;;;;;
0.26435998;0.19773754;-1.0055599;;;;;;;;;;;
0.26564896;0.19644457;-1.027798;;;;;;;;;;;
0.2708633;0.19795872;-1.0177432;;;;;;;;;;;
0.2760699;0.19947062;-1.0077034;;;;;;;;;;;
0.28126875;0.20098028;-0.9976785;;;;;;;;;;;
0.28561834;0.20052405;-0.99552304;;;;;;;;;;;
0.28996146;0.20006849;-0.9933708;;;;;;;;;;;
0.28616303;0.20592532;-0.9962711;;;;;;;;;;;
0.28237027;0.21177344;-0.9991671;;;;;;;;;;;
0.28952342;0.1986778;-1.0148224;;;;;;;;;;;
0.29666594;0.18560159;-1.0304544;;;;;;;;;;;
0.28921083;0.19063835;-1.0124009;;;;;;;;;;;
0.28176677;0.19566761;-0.99437416;;;;;;;;;;;
0.28948185;0.18498029;-1.0070912;;;;;;;;;;;
0.29718545;0.17430885;-1.0197893;;;;;;;;;;;
0.30487764;0.16365325;-1.0324687;;;;;;;;;;;
0.30358174;0.1666187;-1.0288589;;;;;;;;;;;
0.3022878;0.16957974;-1.0252546;;;;;;;;;;;
0.30239835;0.1711338;-1.033718;;;;;;;;;;;
0.30250874;0.17268553;-1.0421687;;;;;;;;;;;
0.29981378;0.18475446;-1.0165237;;;;;;;;;;;
0.2971228;0.19680546;-0.99091685;;;;;;;;;;;
0.30243066;0.19200736;-0.9938208;;;;;;;;;;;
0.30773062;0.1872164;-0.99672043;;;;;;;;;;;
0.30839413;0.18593904;-1.0098547;;;;;;;;;;;
0.30905667;0.1846636;-1.0229694;;;;;;;;;;;
0.30831563;0.19629395;-1.0067503;;;;;;;;;;;
0.30757567;0.20790704;-0.9905554;;;;;;;;;;;
0.3131485;0.19060932;-1.0038391;;;;;;;;;;;
0.31871307;0.1733373;-1.0171031;;;;;;;;;;;
0.3157135;0.18736888;-1.000472;;;;;;;;;;;
0.3127184;0.20137963;-0.98386556;;;;;;;;;;;
0.30972773;0.21536957;-0.96728384;;;;;;;;;;;
0.30828437;0.21306857;-0.9780775;;;;;;;;;;;
0.30684316;0.21077101;-0.988855;;;;;;;;;;;
0.30905086;0.21282491;-0.99260354;;;;;;;;;;;
0.31125528;0.21487576;-0.9963466;;;;;;;;;;;
0.30742526;0.22155215;-0.98142946;;;;;;;;;;;
0.3036009;0.22821862;-0.9665345;;;;;;;;;;;
0.30314848;0.22028814;-0.981537;;;;;;;;;;;
0.3026967;0.21236946;-0.99651724;;;;;;;;;;;
0.30505082;0.21484175;-0.9992726;;;;;;;;;;;
0.30740145;0.21731038;-1.0020238;;;;;;;;;;;
0.3097486;0.21977536;-1.004771;;;;;;;;;;;
0.309287;0.22027303;-1.0111609;;;;;;;;;;;
0.30882612;0.22076996;-1.0175413;;;;;;;;;;;
0.3085062;0.22126614;-1.0101666;;;;;;;;;;;
0.30818674;0.2217616;-1.002803;;;;;;;;;;;
0.30870932;0.21973164;-1.005549;;;;;;;;;;;
0.30923113;0.2177047;-1.0082909;;;;;;;;;;;
0.31494176;0.23321326;-1.0012106;;;;;;;;;;;
0.32064393;0.2486988;-0.99414074;;;;;;;;;;;
0.31890386;0.25700805;-0.9869412;;;;;;;;;;;
0.31716636;0.26530498;-0.97975236;;;;;;;;;;;
0.32104182;0.25591683;-0.9880028;;;;;;;;;;;
0.32491153;0.24654262;-0.9962409;;;;;;;;;;;
