sep=,
Dado 1,Dado 2,Dado 3
-3.6536813,0.43797085,-0.38003922
-3.6538918,0.4197918,-0.37749106
-3.6505003,0.42872506,-0.37088308
-3.6471264,0.43761447,-0.36430755
-3.627395,0.45843822,-0.3689087
-3.6077368,0.47918475,-0.3734928
-3.5975516,0.47635034,-0.3800262
-3.5874097,0.47352797,-0.38653168
-3.5773106,0.47071752,-0.39300963
-3.5681896,0.47556517,-0.39156568
-3.559102,0.48039478,-0.39012706
-3.5300388,0.48815358,-0.39183167
-3.501099,0.4958793,-0.393529
-3.5065556,0.50868696,-0.38938302
-3.5119817,0.5214224,-0.38526043
-3.4846427,0.5176273,-0.39134756
-3.45742,0.51384836,-0.39740866
-3.431023,0.5181612,-0.3979632
-3.404674,0.52246606,-0.39851668
-3.378383,0.52676153,-0.39906895
-3.3198626,0.53058815,-0.39217314
-3.2617793,0.5343862,-0.3853288
-3.2382457,0.527111,-0.3849387
-3.2147982,0.5198624,-0.38455
-3.2036033,0.5152448,-0.39355507
-3.1924617,0.51064914,-0.40251708
-3.1614656,0.50628877,-0.39546436
-3.1305835,0.5019445,-0.38843748
-3.099817,0.4976165,-0.3814369
-3.1336966,0.521676,-0.39488477
-3.1674774,0.5456656,-0.40829355
-3.1421509,0.54538935,-0.40357816
-3.1169298,0.5451142,-0.3988825
-3.0918143,0.5448401,-0.3942064
-3.0748703,0.57422024,-0.40568417
-3.0580049,0.6034647,-0.41710895
-3.046998,0.61667407,-0.4154932
-3.036041,0.6298243,-0.41388464
-3.0272994,0.6234093,-0.40849674
-3.0185964,0.6170224,-0.40313244
-3.0099313,0.61066335,-0.3977915
-3.010619,0.6166917,-0.39958316
-3.011305,0.6227057,-0.40137053
-3.081565,0.6112404,-0.40632352
-3.1514897,0.5998297,-0.41125298
-3.1793103,0.5879739,-0.4182631
-3.2070966,0.5761326,-0.42526463
-3.2348378,0.5643106,-0.43225473
-3.3055682,0.57716215,-0.4321994
-3.3758051,0.5899241,-0.43214443
-3.3904357,0.5729487,-0.43448392
-3.4050322,0.55601275,-0.43681794
-3.3985224,0.55497855,-0.4383397
-3.3920424,0.55394906,-0.43985438
-3.385592,0.5529243,-0.44136217
-3.3751915,0.5471022,-0.44463336
-3.364831,0.5413029,-0.4478918
-3.3295076,0.5438643,-0.45518896
-3.2943397,0.54641443,-0.46245408
-3.2328343,0.53736943,-0.460183
-3.1717405,0.5283849,-0.4579271
-3.111033,0.5194573,-0.45568547
-3.1128514,0.5077556,-0.45850492
-3.1146626,0.49609867,-0.4613136
-3.100652,0.4882076,-0.45871937
-3.0866702,0.4803326,-0.45613042
-3.0958292,0.4832136,-0.45029578
-3.1049466,0.48608157,-0.44448763
-3.1111932,0.49519688,-0.44097215
-3.1174235,0.5042894,-0.4374655
-3.123637,0.513357,-0.43396845
-3.1558604,0.51538336,-0.43391085
-3.187923,0.51739955,-0.43385354
-3.200289,0.5273675,-0.43623498
-3.2125967,0.5372884,-0.43860522
-3.2432845,0.54229426,-0.43045986
-3.2738924,0.54728705,-0.42233583
-3.3044136,0.55226564,-0.41423476
-3.340971,0.55485576,-0.41018683
-3.3773446,0.55743283,-0.40615928
-3.4041958,0.5634685,-0.40753713
-3.4309328,0.5694785,-0.4089091
-3.4287138,0.5684533,-0.40844834
-3.4265027,0.5674315,-0.40798905
-3.4096408,0.5590906,-0.39746255
-3.392861,0.55079037,-0.38698736
-3.376161,0.5425295,-0.3765619
-3.3691115,0.5380327,-0.37594497
-3.362091,0.53355426,-0.37533057
-3.3202186,0.52319986,-0.3795762
-3.2785366,0.5128926,-0.3838025
-3.2247567,0.5156391,-0.38368148
-3.1712158,0.5183735,-0.383561
-3.1179094,0.5210959,-0.383441
-3.1887703,0.5176695,-0.39922243
-3.2594604,0.5142514,-0.4149659
-3.3953624,0.5242372,-0.40875226
-3.5306163,0.5341754,-0.40256825
-3.686332,0.55685014,-0.41071105
-3.8416343,0.5794646,-0.4188322
-3.941903,0.5804933,-0.42616147
-4.0416784,0.58151686,-0.4334546
-4.140975,0.58253556,-0.4407128
-4.1917515,0.59456843,-0.44039032
-4.2423916,0.60656923,-0.44006866
-4.2511415,0.59299326,-0.44676697
-4.259848,0.57948416,-0.45343223
-4.2742248,0.58368456,-0.44742894
-4.288561,0.5878732,-0.44144225
-4.3028555,0.5920496,-0.43547317
-4.320364,0.5951286,-0.4253386
-4.337791,0.59819335,-0.41525093
-4.336174,0.6010193,-0.4253207
-4.334563,0.60383683,-0.43536034
-4.337864,0.6120214,-0.4306794
-4.3411484,0.62016386,-0.42602253
-4.3444166,0.62826586,-0.42138878
-4.352808,0.6297049,-0.4078065
-4.3611717,0.6311393,-0.39426848
-4.3494344,0.6460764,-0.39516586
-4.337748,0.6609476,-0.3960593
-4.3261123,0.67575437,-0.39694887
-4.335955,0.672042,-0.40164942
-4.3457513,0.6683471,-0.40632778
-4.3526063,0.6754812,-0.4029518
-4.359443,0.68259656,-0.3995847
-4.345973,0.6730564,-0.39966807
-4.332569,0.663563,-0.39975104
-4.319229,0.6541149,-0.3998336
